,full_name,name,vendor,snmp_sysobjectid
90,Cisco Systems WS-C3550-12T,WS-C3550-12T,Cisco Systems,1.3.6.1.4.1.9.1.368
91,Juniper Networks ex3200-48t,ex3200-48t,Juniper Networks,
92,Eltex MES-3108F,MES-3108F,Eltex,1.3.6.1.4.1.35265.1.36
93,SKS SKS-16E1-IP-ES-L,SKS-16E1-IP-ES-L,SKS,1.3.6.1.4.1.40535.1.26
94,Cisco Systems WS-C2960G-24TC-L,WS-C2960G-24TC-L,Cisco Systems,1.3.6.1.4.1.9.1.696
95,Cisco Systems WS-C6509-V-E,WS-C6509-V-E,Cisco Systems,1.3.6.1.4.1.9.1.832
96,D-Link DGS-3420-28SC/B1,DGS-3420-28SC/B1,D-Link,1.3.6.1.4.1.171.10.119.2
97,Cisco Systems WS-C2940-8TT-S,WS-C2940-8TT-S,Cisco Systems,1.3.6.1.4.1.9.1.540
98,Huawei Technologies Co. S5328C-HI,S5328C-HI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.155
99,D-Link DGS-1210-20/ME/A1,DGS-1210-20/ME/A1,D-Link,1.3.6.1.4.1.171.10.76.31.1
100,Cisco Systems WS-C3550-48,WS-C3550-48,Cisco Systems,1.3.6.1.4.1.9.1.367
101,Qtech QSW-4610-18T-AC,QSW-4610-18T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.344
102,Raisecom ISCOM2608G-2GE-PWR-AC,ISCOM2608G-2GE-PWR-AC,Raisecom,1.3.6.1.4.1.8886.6.214
103,Eltex MES-5324,MES-5324,Eltex,1.3.6.1.4.1.35265.1.74
104,Cisco Systems WS-C3750G-24TS,WS-C3750G-24TS,Cisco Systems,1.3.6.1.4.1.9.1.516
105,ZyXEL MES3500-24F,MES3500-24F,ZyXEL,1.3.6.1.4.1.890.1.5.8.57
106,DCN DCWL-7962OT(R5),DCWL-7962OT(R5),DCN,
107,D-Link DES-3828,DES-3828,D-Link,1.3.6.1.4.1.171.10.69.1
108,Cisco Systems WS-C3560E-24TD,WS-C3560E-24TD,Cisco Systems,1.3.6.1.4.1.9.1.793
109,Qtech QSW-3580-28T-AC,QSW-3580-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.310
110,Huawei Technologies Co. S5300-28X-LI-24S-AC,S5300-28X-LI-24S-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.221
111,ZyXEL GS-3012F,GS-3012F,ZyXEL,1.3.6.1.4.1.890.1.5.8.11
112,D-Link DES-2108,DES-2108,D-Link,1.3.6.1.4.1.171.10.61.3
113,Cisco Systems WS-C6503-E,WS-C6503-E,Cisco Systems,1.3.6.1.4.1.9.1.449
114,Eltex MES-3108,MES-3108,Eltex,1.3.6.1.4.1.35265.1.35
115,Cisco Systems WS-C2950G-24-EI-DC,WS-C2950G-24-EI-DC,Cisco Systems,1.3.6.1.4.1.9.1.472
116,Eltex LTP-4X-rev.C,LTP-4X-rev.C,Eltex,1.3.6.1.4.1.35265.1.70
117,Cisco Systems WS-C2960S-24PD-L,WS-C2960S-24PD-L,Cisco Systems,1.3.6.1.4.1.9.1.1261
118,D-Link DES-3200-18/A1,DES-3200-18/A1,D-Link,1.3.6.1.4.1.171.10.113.1.2
119,Juniper Networks mx960,mx960,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.21
120,Cisco Systems WS-C2960G-8TC-L,WS-C2960G-8TC-L,Cisco Systems,1.3.6.1.4.1.9.1.799
121,D-Link DGS-3627G,DGS-3627G,D-Link,1.3.6.1.4.1.171.10.70.8
122,Huawei Technologies Co. ME60-X8,ME60-X8,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.89.5
123,Raisecom ISCOM2624G-4GE-AC,ISCOM2624G-4GE-AC,Raisecom,1.3.6.1.4.1.8886.6.191
124,Cisco Systems WS-C6504-E,WS-C6504-E,Cisco Systems,1.3.6.1.4.1.9.1.657
125,Eltex MES-3124,MES-3124,Eltex,1.3.6.1.4.1.35265.1.24
126,ZyXEL IES-1000,IES-1000,ZyXEL,1.3.6.1.4.1.890.1.5.11.6
127,ZyXEL MES-3528,MES-3528,ZyXEL,1.3.6.1.4.1.890.1.5.8.51
128,Cisco Systems CISCO2901,CISCO2901,Cisco Systems,
129,D-Link DGS-1210-28/ME/A2,DGS-1210-28/ME/A2,D-Link,1.3.6.1.4.1.171.10.76.28.1
130,D-Link DAS-3224DC,DAS-3224DC,D-Link,1.3.6.1.4.1.3646.1300.13
131,Cisco Systems WS-C3550-24,WS-C3550-24,Cisco Systems,1.3.6.1.4.1.9.1.366
132,Cisco Systems ME-3400-24TS-D,ME-3400-24TS-D,Cisco Systems,1.3.6.1.4.1.9.1.737
133,SKS SKS-16E1-IP-1U,SKS-16E1-IP-1U,SKS,1.3.6.1.4.1.40535.1.14
134,ZyXEL ES3500-24HP,ES3500-24HP,ZyXEL,1.3.6.1.4.1.890.1.5.8.73
135,Cisco Systems WS-C6509-E,WS-C6509-E,Cisco Systems,1.3.6.1.4.1.9.1.283
136,Huawei Technologies Co. MA5680T,MA5680T,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.115
137,Cisco Systems WS-C3750G-12S,WS-C3750G-12S,Cisco Systems,1.3.6.1.4.1.9.1.516
138,ZyXEL MGS-3712F,MGS-3712F,ZyXEL,1.3.6.1.4.1.890.1.5.8.48
139,D-Link DES-3028P,DES-3028P,D-Link,1.3.6.1.4.1.171.10.63.7
140,Cisco Systems WS-C3560-24TS,WS-C3560-24TS,Cisco Systems,1.3.6.1.4.1.9.1.633
141,D-Link DES-1210-28P,DES-1210-28P,D-Link,1.3.6.1.4.1.171.10.75.19.1
142,Huawei Technologies Co. MA5616,MA5616,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.169
143,D-Link DGS-1210-10/ME/A1,DGS-1210-10/ME/A1,D-Link,1.3.6.1.4.1.171.10.76.35.1
144,Eltex MES-3116F,MES-3116F,Eltex,1.3.6.1.4.1.35265.1.39
145,Qtech QSW-8200-28F-AC,QSW-8200-28F-AC,Qtech,1.3.6.1.4.1.27514.6.178
146,D-Link DGS-3000-26TC,DGS-3000-26TC,D-Link,1.3.6.1.4.1.171.10.133.2.1
147,Huawei Technologies Co. NE40E-X8,NE40E-X8,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.62.2.9
148,D-Link DES-3200-26/A1,DES-3200-26/A1,D-Link,1.3.6.1.4.1.171.10.113.1.5
149,Cisco Systems WS-C3750E-48TD,WS-C3750E-48TD,Cisco Systems,1.3.6.1.4.1.9.1.516
150,Cisco Systems CISCO2911,CISCO2911,Cisco Systems,
151,Cisco Systems C9300-24UX,C9300-24UX,Cisco Systems,1.3.6.1.4.1.9.1.2494
152,Cisco Systems WS-C3750X-24,WS-C3750X-24,Cisco Systems,1.3.6.1.4.1.9.1.516
153,Qtech QSW-8200-28F-AC-DC,QSW-8200-28F-AC-DC,Qtech,1.3.6.1.4.1.27514.1.1.2.59
154,Qtech QSW-2850-18T-AC,QSW-2850-18T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.339
155,Zhone 4219-A1-520,4219-A1-520,Zhone,1.3.6.1.4.1.1795.1.14.17.1.3
156,Eltex ESR-100,ESR-100,Eltex,1.3.6.1.4.1.35265.1.71
157,Juniper Networks ERX-310,ERX-310,Juniper Networks,1.3.6.1.4.1.4874.1.1.1.1.5
158,Cisco Systems WS-C3560E-48TD,WS-C3560E-48TD,Cisco Systems,1.3.6.1.4.1.9.1.794
159,Huawei Technologies Co. S2352P-EI,S2352P-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.94
160,Cisco Systems WS-C3750G-48TS,WS-C3750G-48TS,Cisco Systems,1.3.6.1.4.1.9.1.516
161,D-Link DAS-3224,DAS-3224,D-Link,1.3.6.1.4.1.3646.1300.14
162,D-Link DES-3200-28/ME/C1,DES-3200-28/ME/C1,D-Link,1.3.6.1.4.1.171.10.113.7.1
163,Huawei Technologies Co. S8502,S8502,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.163
164,Cisco Systems ME-3800X-24FS-M,ME-3800X-24FS-M,Cisco Systems,1.3.6.1.4.1.9.1.1252
165,ZyXEL ES-2024A,ES-2024A,ZyXEL,1.3.6.1.4.1.890.1.5.8.16
166,Eltex MES-2308P,MES-2308P,Eltex,1.3.6.1.4.1.35265.1.89
167,Qtech QSW-3400-10T-AC,QSW-3400-10T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.220
168,Zhone 8620-A1-530,8620-A1-530,Zhone,
169,Cisco Systems CISCO7606,CISCO7606,Cisco Systems,
170,D-Link DGS-3120-24TC,DGS-3120-24TC,D-Link,1.3.6.1.4.1.171.10.117.1.1
171,ZyXEL ES-2108-G,ES-2108-G,ZyXEL,1.3.6.1.4.1.890.1.5.8.19
172,Huawei Technologies Co. S3928TP,S3928TP,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.12
173,Huawei Technologies Co. MA5612,MA5612,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.184
174,D-Link DES-1210-10/ME/B1,DES-1210-10/ME/B1,D-Link,1.3.6.1.4.1.171.10.75.14.1
175,Huawei Technologies Co. S5328C-HI-24S,S5328C-HI-24S,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.156
176,Huawei Technologies Co. UA5000IPMB,UA5000IPMB,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.78
177,T Fortis PSW-2G6F+,PSW-2G6F+,T Fortis,1.3.6.1.4.1.30982.1.1
178,Cisco Systems CISCO2801,CISCO2801,Cisco Systems,1.3.6.1.4.1.9.1.619
179,Cisco Systems WS-C2924-XL,WS-C2924-XL,Cisco Systems,1.3.6.1.4.1.9.1.217
180,D-Link DES-3028G,DES-3028G,D-Link,1.3.6.1.4.1.171.10.63.11
181,Cisco Systems WS-C3560-48TS,WS-C3560-48TS,Cisco Systems,1.3.6.1.4.1.9.1.634
182,Zhone 8620-A1-402,8620-A1-402,Zhone,
183,Huawei Technologies Co. S2326TP-SI,S2326TP-SI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.91
184,Huawei Technologies Co. S5624P,S5624P,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.43
185,D-Link DES-3200-26/C1,DES-3200-26/C1,D-Link,1.3.6.1.4.1.171.10.113.4.1
186,Huawei Technologies Co. S2700-26TP-EI-AC,S2700-26TP-EI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.117
187,Eltex LTP-8X-rev.C,LTP-8X-rev.C,Eltex,1.3.6.1.4.1.35265.1.22
188,Qtech QSW-2855-28T-AC,QSW-2855-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.337
189,Cisco Systems CISCO2811,CISCO2811,Cisco Systems,1.3.6.1.4.1.9.1.576
190,Cisco Systems WS-C3750G-24T,WS-C3750G-24T,Cisco Systems,1.3.6.1.4.1.9.1.516
191,Huawei Technologies Co. S3700-28TP-EI-AC,S3700-28TP-EI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.125
192,Huawei Technologies Co. S6502,S6502,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.80
193,Huawei Technologies Co. S2326TP-EI,S2326TP-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.92
194,Huawei Technologies Co. MA5626G,MA5626G,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.135
195,D-Link DES-1210-28/ME/B2,DES-1210-28/ME/B2,D-Link,1.3.6.1.4.1.171.10.75.15.2
196,D-Link DES-3200-28/B1,DES-3200-28/B1,D-Link,1.3.6.1.4.1.171.10.113.1.3
197,D-Link DGS-3120-24TC/A1,DGS-3120-24TC/A1,D-Link,1.3.6.1.4.1.171.10.117.1.1
198,Raisecom ISCOM2110EA-MA-PWR-DC,ISCOM2110EA-MA-PWR-DC,Raisecom,1.3.6.1.4.1.8886.6.83
199,Cisco Systems WS-C3750-48TS,WS-C3750-48TS,Cisco Systems,1.3.6.1.4.1.9.1.516
200,Cisco Systems C9500-24Q,C9500-24Q,Cisco Systems,1.3.6.1.4.1.9.1.2593
201,Juniper Networks ex4550-32f,ex4550-32f,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.92
202,Cisco Systems WS-C2950-12,WS-C2950-12,Cisco Systems,1.3.6.1.4.1.9.1.323
203,Zhone 4229-A2-520,4229-A2-520,Zhone,1.3.6.1.4.1.1795.1.14.17.1.3
204,D-Link DGS-3200-10,DGS-3200-10,D-Link,1.3.6.1.4.1.171.10.101.1
205,D-Link DES-3552,DES-3552,D-Link,1.3.6.1.4.1.171.10.105.3
206,Cisco Systems WS-C6513-E,WS-C6513-E,Cisco Systems,1.3.6.1.4.1.9.1.400
207,Huawei Technologies Co. S2309TP-EI,S2309TP-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.88
208,Eltex MES-1124,MES-1124,Eltex,1.3.6.1.4.1.35265.1.52
209,Eltex MES-3124F,MES-3124F,Eltex,1.3.6.1.4.1.35265.1.30
210,Cisco Systems WS-C3550-24-DC-SMI,WS-C3550-24-DC-SMI,Cisco Systems,1.3.6.1.4.1.9.1.452
211,Cisco Systems ME-3400G-2CS-A,ME-3400G-2CS-A,Cisco Systems,1.3.6.1.4.1.9.1.825
212,Edge-Core ECS4100-52T,ECS4100-52T,Edge-Core,1.3.6.1.4.1.259.10.1.46.105
213,D-Link DES-1210-10/ME,DES-1210-10/ME,D-Link,
214,Cisco Systems WS-C2950G-24-EI,WS-C2950G-24-EI,Cisco Systems,1.3.6.1.4.1.9.1.428
215,Huawei Technologies Co. S5320-28X-LI-24S-DC,S5320-28X-LI-24S-DC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.458
216,Cisco Systems ME-3400-24TS-A,ME-3400-24TS-A,Cisco Systems,1.3.6.1.4.1.9.1.736
217,D-Link DGS-3024,DGS-3024,D-Link,1.3.6.1.4.1.171.10.68.1
218,Qtech QSW-2800-10T-DC,QSW-2800-10T-DC,Qtech,1.3.6.1.4.1.27514.1.1.1.51
219,D-Link DES-1210-10/ME/B2,DES-1210-10/ME/B2,D-Link,1.3.6.1.4.1.171.10.75.14.1
220,D-Link DGS-1210-28/ME/A1,DGS-1210-28/ME/A1,D-Link,1.3.6.1.4.1.171.10.76.28.1
221,Eltex MES-5248,MES-5248,Eltex,1.3.6.1.4.1.35265.1.54
222,Cisco Systems ME-3400EG-2CS-A,ME-3400EG-2CS-A,Cisco Systems,1.3.6.1.4.1.9.1.1007
223,Cisco Systems WS-C4948,WS-C4948,Cisco Systems,1.3.6.1.4.1.9.1.626
224,ZyXEL IES-6000,IES-6000,ZyXEL,1.3.6.1.4.1.890.1.5.13.8
225,D-Link DGS-3612G,DGS-3612G,D-Link,1.3.6.1.4.1.171.10.70.9
226,Huawei Technologies Co. S6730-H24X6C,S6730-H24X6C,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.667
227,Huawei Technologies Co. S6320-54C-EI-48S-AC,S6320-54C-EI-48S-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.344
228,Edge-Core ES3510,ES3510,Edge-Core,1.3.6.1.4.1.259.10.1.27.102
229,ZyXEL MES3500-24,MES3500-24,ZyXEL,1.3.6.1.4.1.890.1.5.8.68
230,D-Link DES-3226S,DES-3226S,D-Link,1.3.6.1.4.1.171.10.48.1
231,Raisecom ISCOM2128EA-MA-AC,ISCOM2128EA-MA-AC,Raisecom,1.3.6.1.4.1.8886.6.140
232,D-Link DES-3052,DES-3052,D-Link,1.3.6.1.4.1.171.10.63.8
233,ZyXEL GS-4012F,GS-4012F,ZyXEL,1.3.6.1.4.1.890.1.5.8.20
234,Huawei Technologies Co. MA5608T,MA5608T,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.248
235,Qtech QSW-2900-24T,QSW-2900-24T,Qtech,1.3.6.1.4.1.27514.1.3.13
236,Eltex MXA64,MXA64,Eltex,1.3.6.1.4.1.34300.1.6
237,ZyXEL ES-2226,ES-2226,ZyXEL,1.3.6.1.4.1.890.1.5.8.30
238,D-Link DES-3026,DES-3026,D-Link,1.3.6.1.4.1.171.10.63.3
239,Huawei Technologies Co. S2318TP-EI,S2318TP-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.90
240,Eltex LTP-8X,LTP-8X,Eltex,1.3.6.1.4.1.35265.1.22
241,Cisco Systems WS-C2960-48PST-L,WS-C2960-48PST-L,Cisco Systems,1.3.6.1.4.1.9.1.1016
242,D-Link DGS-3120-24SC/A2,DGS-3120-24SC/A2,D-Link,1.3.6.1.4.1.171.10.117.1.3
243,Huawei Technologies Co. NE40E-X8A,NE40E-X8A,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.62.2.18
244,D-Link DGS-3420-28SC/A2,DGS-3420-28SC/A2,D-Link,1.3.6.1.4.1.171.10.119.2
