,full_name,name,vendor,snmp_sysobjectid
303,Cisco Systems WS-C2960G-48TC-L,WS-C2960G-48TC-L,Cisco Systems,1.3.6.1.4.1.9.1.697
304,D-Link DES-3200-28/C1,DES-3200-28/C1,D-Link,1.3.6.1.4.1.171.10.113.5.1
305,D-Link DES-3028,DES-3028,D-Link,1.3.6.1.4.1.171.10.63.6
306,Eltex MXA32,MXA32,Eltex,1.3.6.1.4.1.35265.1.28
307,Huawei Technologies Co. S2328P-EI-AC,S2328P-EI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.229
308,D-Link DGS-3426,DGS-3426,D-Link,1.3.6.1.4.1.171.10.70.1
309,ZyXEL ES-2108PWR,ES-2108PWR,ZyXEL,1.3.6.1.4.1.890.1.5.8.21
310,D-Link DES-3828P,DES-3828P,D-Link,1.3.6.1.4.1.171.10.69.3
311,ZyXEL IES-1248,IES-1248,ZyXEL,1.3.6.1.4.1.890.1.5.11.13
312,Huawei Technologies Co. S6330-H48X6C,S6330-H48X6C,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.666
313,D-Link DES-3200-52/C1,DES-3200-52/C1,D-Link,1.3.6.1.4.1.171.10.113.9.1
314,D-Link DES-3550,DES-3550,D-Link,1.3.6.1.4.1.171.10.64.2
315,Eltex MES-2124P,MES-2124P,Eltex,1.3.6.1.4.1.35265.1.59
316,Cisco Systems ME-3400EG-12CS-M,ME-3400EG-12CS-M,Cisco Systems,1.3.6.1.4.1.9.1.1008
317,Cisco Systems N3K-C3064PQ-10GX,N3K-C3064PQ-10GX,Cisco Systems,1.3.6.1.4.1.9.12.3.1.3.1163
318,Huawei Technologies Co. S2350-28TP-EI-AC,S2350-28TP-EI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.223
319,Huawei Technologies Co. S5628F-HI,S5628F-HI,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.232
320,Cisco Systems C9300-24T,C9300-24T,Cisco Systems,1.3.6.1.4.1.9.1.2494
321,Qtech QSW-2910-28F,QSW-2910-28F,Qtech,1.3.6.1.4.1.27514.1.3.26.7
322,Qtech QSW-4610-28T-AC,QSW-4610-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.310
323,D-Link DES-1210-08P,DES-1210-08P,D-Link,1.3.6.1.4.1.171.10.75.17.1
324,Eltex MES5448,MES5448,Eltex,1.3.6.1.4.1.35265
325,Huawei Technologies Co. S6730-H48X6C,S6730-H48X6C,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.665
326,Cisco Systems WS-C3750G-12S-D,WS-C3750G-12S-D,Cisco Systems,1.3.6.1.4.1.9.1.516
327,Qtech QSW-2800-26T-AC,QSW-2800-26T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.39
328,Cisco Systems WS-C2950T-24,WS-C2950T-24,Cisco Systems,1.3.6.1.4.1.9.1.359
329,ZyXEL GS-4024,GS-4024,ZyXEL,1.3.6.1.4.1.890.1.5.8.13
330,D-Link DES-3010G,DES-3010G,D-Link,1.3.6.1.4.1.171.10.63.1.2
331,Cisco Systems C9300-24P,C9300-24P,Cisco Systems,1.3.6.1.4.1.9.1.2494
332,ZyXEL ES-2108-LC,ES-2108-LC,ZyXEL,1.3.6.1.4.1.890.1.5.8.22
333,D-Link DGS-3100-24,DGS-3100-24,D-Link,1.3.6.1.4.1.171.10.94.1
334,D-Link DVG-N5402G,DVG-N5402G,D-Link,1.3.6.1.4.1.8072.3.2.10
335,Eltex MA4000,MA4000,Eltex,1.3.6.1.4.1.35265.1.13
336,Cisco Systems C9300-48T,C9300-48T,Cisco Systems,1.3.6.1.4.1.9.1.2494
337,DCN DCWL-7962OT(R6),DCWL-7962OT(R6),DCN,
338,Juniper Networks mx80-p,mx80-p,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.57
339,Cisco Systems WS-C2960-8TC-S,WS-C2960-8TC-S,Cisco Systems,1.3.6.1.4.1.9.1.1006
340,Qtech QSW-2850-28T-AC,QSW-2850-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.219
341,Cisco Systems WS-C3560-24PS,WS-C3560-24PS,Cisco Systems,1.3.6.1.4.1.9.1.563
342,D-Link DAS-3248DC,DAS-3248DC,D-Link,1.3.6.1.4.1.3646.1300.201
343,Huawei Technologies Co. S3328TP-EI-24S,S3328TP-EI-24S,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.82
344,ZyXEL IES-5005,IES-5005,ZyXEL,1.3.6.1.4.1.890.1.5.13.7
345,Qtech QSW-4610-10T-AC,QSW-4610-10T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.450
346,Qtech QSW-8200-28F-DC-DC,QSW-8200-28F-DC-DC,Qtech,1.3.6.1.4.1.27514.1.1.1.271
347,Qtech QSW-3900,QSW-3900,Qtech,1.3.6.1.4.1.27514.1.3.26.2
348,Qtech QSW-2700-28,QSW-2700-28,Qtech,1.3.6.1.4.1.27514.102.1.2.5
349,Huawei Technologies Co. S8508,S8508,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.22
350,Edge-Core ES3526XA-V2,ES3526XA-V2,Edge-Core,1.3.6.1.4.1.259.8.1.5
351,Cisco Systems CISCO2821,CISCO2821,Cisco Systems,1.3.6.1.4.1.9.1.577
352,D-Link DGS-3420-26SC/A2,DGS-3420-26SC/A2,D-Link,1.3.6.1.4.1.171.10.119.6
353,Eltex LTP-8X-rev.B,LTP-8X-rev.B,Eltex,1.3.6.1.4.1.35265.1.22
354,Huawei Technologies Co. S5320-36C-EI-DC,S5320-36C-EI-DC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.278
355,Cisco Systems WS-C2960-48TC-L,WS-C2960-48TC-L,Cisco Systems,1.3.6.1.4.1.9.1.695
356,Eltex MES-1024,MES-1024,Eltex,1.3.6.1.4.1.35265.1.42
357,Huawei Technologies Co. S2309TP-PWR-EI,S2309TP-PWR-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.108
358,ZyXEL IES-3000,IES-3000,ZyXEL,1.3.6.1.4.1.890.1.5.13.3
359,Juniper Networks ex4200-48t,ex4200-48t,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.31
360,ZyXEL AAM1212-51,AAM1212-51,ZyXEL,1.3.6.1.4.1.890.1.5.11.11
361,Huawei Technologies Co. NE40E-X1-M4,NE40E-X1-M4,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.62.14
362,Eltex MES-3324,MES-3324,Eltex,1.3.6.1.4.1.35265.1.80
363,Raisecom RS-I-2308FE-PoE,RS-I-2308FE-PoE,Raisecom,1.3.6.1.4.1.8886.26.502
364,T Fortis PSW-2G4F,PSW-2G4F,T Fortis,1.3.6.1.4.1.30982.1.1
365,Huawei Technologies Co. S6320-30C-EI-24S-DC,S6320-30C-EI-24S-DC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.342
366,ZTE C320,C320,ZTE,1.3.6.1.4.1.3902.1082.1001.320.2.1
367,D-Link DES-1210-26/ME,DES-1210-26/ME,D-Link,1.3.6.1.4.1.171.10.75.16.1
368,Cisco Systems SF300-24,SF300-24,Cisco Systems,1.3.6.1.4.1.9.6.1.82.24.1
369,Linksys SPS 224G4,SPS 224G4,Linksys,1.3.6.1.4.1.3955.6.9.224.1
370,C-Data FD1204S-R2-DAP,FD1204S-R2-DAP,C-Data,1.3.6.1.4.1.17409
371,D-Link DGS-1110-06/ME,DGS-1110-06/ME,D-Link,1.3.6.1.4.1.171.10.134.1
372,Huawei Technologies Co. S6720,S6720,Huawei Technologies Co.,1.3.6.1.4.1.56813.2.23.354
373,BDCOM P3310C,P3310C,BDCOM,1.3.6.1.4.1.3320.1.294.0
374,Huawei Technologies Co. CE6851HI,CE6851HI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.239.26
375,ZTE 5928E-FI,5928E-FI,ZTE,1.3.6.1.4.1.3902.3.600.3.1.751
376,Huawei Technologies Co. S5700-28C-HI-24S,S5700-28C-HI-24S,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.170
377,Cisco Systems ASR9K,ASR9K,Cisco Systems,1.3.6.1.4.1.9.1.1639
378,Huawei Technologies Co. S6720S-26Q-EI-24S-AC,S6720S-26Q-EI-24S-AC,Huawei Technologies Co.,1.3.6.1.4.1.56813.2.23.354
379,NAG SNR-S2985G-8T,SNR-S2985G-8T,NAG,1.3.6.1.4.1.40418.7.21
380,Huawei Technologies Co. S6720-30C-EI-24S-AC,S6720-30C-EI-24S-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.340
381,NAG SNR-S2995G-12FX,SNR-S2995G-12FX,NAG,1.3.6.1.4.1.40418.7.44
382,D-Link DGS-1210-28/ME/A3,DGS-1210-28/ME/A3,D-Link,1.3.6.1.4.1.171.10.76.28.2
383,Linksys SPS 208G,SPS 208G,Linksys,1.3.6.1.4.1.3955.6.9.208.2
384,ZTE C300,C300,ZTE,1.3.6.1.4.1.3902.1082.1001.320.2.1
385,Eltex MES2424B,MES2424B,Eltex,1.3.6.1.4.1.35265.1.176
386,BDCOM P3310B,P3310B,BDCOM,1.3.6.1.4.1.3320.1.228.0
387,BDCOM P3310D,P3310D,BDCOM,1.3.6.1.4.1.3320.1.441.0
388,BDCOM P3608-2TE,P3608-2TE,BDCOM,1.3.6.1.4.1.3320.1.2009.0
389,Arista Networks DCS-7124S-F,DCS-7124S-F,Arista Networks,1.3.6.1.4.1.30065.1.3011.7124.3282
390,Huawei Technologies Co. S5320-28X-SI-AC,S5320-28X-SI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.328
391,NAG SNR-S2985G-24TC,SNR-S2985G-24TC,NAG,1.3.6.1.4.1.40418.7.42
392,Huawei Technologies Co. S6720S-26Q-EI-24S-AC-2,S6720S-26Q-EI-24S-AC-2,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.354
393,Cisco Systems N3K-C3048TP-1GE,N3K-C3048TP-1GE,Cisco Systems,1.3.6.1.4.1.9.12.3.1.3.1106
394,Huawei Technologies Co. S6720S-16X-LI-16S-AC,S6720S-16X-LI-16S-AC,Huawei Technologies Co.,
395,Huawei Technologies Co. CE6851-48S6Q-HI,CE6851-48S6Q-HI,Huawei Technologies Co.,
